brand,model,release_year,dimensions_mm,weight_g,screen_size_in,display_type,rear_camera_mp,soc,feature_tags,spec_source
Huawei,"MatePad Pro 12.6 5G",2021,"286.5 x 184.7 x 6.7",609,12.6,OLED,13.0,"Huawei HiSilicon Kirin 9000","OLED,5G,Wi-Fi 6,Nano Memory,USB-C","DeviceSpecifications"
Huawei,"MatePad 11.5 2023",2023,"260.9 x 176.8 x 6.9",499,11.5,IPS,13.1,"Qualcomm Snapdragon 7 Gen 1","Wi-Fi 6,USB-C","DeviceSpecifications"
Huawei,"MatePad Air Wi-Fi",2023,"261.89 x 178.17 x 6.4",508,11.5,IPS,13.1,"Qualcomm Snapdragon 888","Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Huawei,"MatePad Pro 13.2",2023,"289.1 x 196.1 x 5.5",580,13.2,OLED,13.0,"Huawei HiSilicon Kirin 9000S","OLED,Wi-Fi 6,Nano Memory,USB-C","DeviceSpecifications"
Xiaomi,"Pad 5 Wi-Fi",2021,"254.69 x 166.25 x 6.85",511,11.0,IPS,13.0,"Qualcomm Snapdragon 860","USB-C,Wi-Fi 5","DeviceSpecifications"
Xiaomi,"Redmi Pad",2022,"250.5 x 158.1 x 7.1",465,10.61,IPS,8.0,"MediaTek Helio G99","microSD,USB-C","DeviceSpecifications"
Xiaomi,"Pad 6",2023,"253.95 x 165.18 x 6.51",490,11.0,IPS,13.0,"Qualcomm Snapdragon 870","Wi-Fi 6,USB-C","DeviceSpecifications"
Xiaomi,"Redmi Pad Pro",2024,"280 x 181.85 x 7.52",571,12.1,IPS,8.0,"Qualcomm Snapdragon 7s Gen 2","Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Xiaomi,"Pad 6S Pro 12.4",2024,"278.7 x 191.58 x 6.26",590,12.4,IPS,50.2,"Qualcomm Snapdragon 8 Gen 2","Wi-Fi 7,USB-C","DeviceSpecifications"
Honor,"Tab 7",2021,"240.2 x 159 x 7.55",460,10.1,IPS,4.9,"MediaTek Helio P22","microSD,USB-C","DeviceSpecifications"
Honor,"Pad 8",2022,"278.54 x 174.06 x 6.9",520,12.0,IPS,5.0,"Qualcomm Snapdragon 680","USB-C","DeviceSpecifications"
Honor,"Pad X8 Pro",2023,"267.3 x 167.4 x 6.9",495,11.5,IPS,5.0,"Qualcomm Snapdragon 685","microSD,USB-C","DeviceSpecifications"
Honor,"MagicPad 13",2023,"291.7 x 191.12 x 6.84",673,13.0,IPS,13.0,"Qualcomm Snapdragon 888","Wi-Fi 6,Nano Memory,USB-C","DeviceSpecifications"
Honor,"Pad 9",2024,"278.27 x 180.11 x 6.96",555,12.1,IPS,12.9,"Qualcomm Snapdragon 6 Gen 1","microSD,USB-C","DeviceSpecifications"
Oppo,"Pad Air2",2023,"255.12 x 188.04 x 6.89",538,11.4,IPS,8.0,"MediaTek Helio G99","microSD,USB-C","DeviceSpecifications"
Oppo,"Pad 2",2023,"258.03 x 189.39 x 6.54",552,11.61,IPS,13.0,"MediaTek Dimensity 9000","Wi-Fi 6,USB-C","DeviceSpecifications"
Oppo,"Pad Neo Wi-Fi",2023,"255.12 x 188.04 x 6.89",538,11.4,IPS,8.0,"MediaTek Helio G99","microSD,USB-C","DeviceSpecifications"
Oppo,"Pad 2024",2024,"257.75 x 189.11 x 6.29",533,11.6,IPS,7.0,"MediaTek Dimensity 8350","Wi-Fi 6E,USB-C","DeviceSpecifications"
Oppo,"Pad 3 Pro",2024,"268.66 x 195.06 x 6.49",586,12.1,IPS,13.0,"Qualcomm Snapdragon 8 Gen 3","Wi-Fi 7,USB-C","DeviceSpecifications"
Amazon,"Fire 7 (2022)",2022,"180.68 x 117.59 x 9.67",282,7.0,IPS,1.9,"MediaTek MT8168","microSD,USB-C","DeviceSpecifications"
Amazon,"Fire Max 11",2023,"259.1 x 163.7 x 7.5",490,11.0,IPS,7.0,"MediaTek MT8188J","Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
